,buyer,seller,price
0,-23911.167399,222.956338,9.860877
1,-13293.761389,533.148064,9.517364
2,-11585.202406,527.202577,9.382436
3,-9732.445086,457.527042,9.429671
4,-27417.955003,197.249649,9.768900
5,-19333.209997,353.425474,9.727503
6,-15114.578293,595.975094,9.656267
7,-13941.280069,537.225526,9.708121
8,-14183.540380,478.151406,9.657454
9,-21595.176741,182.770386,9.848334
10,-22083.802644,253.841156,9.970470
11,-13916.337228,439.500269,9.702763
12,-18842.059036,240.889715,9.897610
13,-24340.865619,250.460106,10.022122
14,-12592.164935,503.710221,9.589029
15,-13284.100006,522.052725,9.806814
16,-10722.305286,448.445217,9.595729
17,-9598.932236,426.517231,9.447063
18,-12070.201074,443.873805,9.572572
19,-12248.976131,510.726213,9.551477
20,-11445.551391,439.610870,9.492705
21,-21592.998508,275.988414,10.038296
22,-13789.735972,481.616491,9.808332
23,-15050.274764,577.467820,9.954664
24,-14989.778276,541.264828,9.936545
25,-23677.420343,288.254389,10.160743
26,-13728.284118,517.598163,9.971364
27,-15101.588982,523.854744,9.678197
28,-33088.662135,112.467973,10.167606
29,-11490.758916,508.526611,9.654351
30,-10870.642171,496.141003,9.754476
31,-10641.862831,474.782618,9.558236
32,-4869.868117,540.983944,9.160066
33,-5869.552118,483.090988,8.895659
34,-16974.094364,438.402984,10.008531
35,-7329.632374,534.948078,9.395687
36,-6890.868020,619.668565,9.476819
37,-6168.272782,651.879003,9.314653
38,-11374.490302,655.968670,9.844914
39,-8979.866038,529.981560,9.582983
40,-3137.418132,433.372754,8.730642
41,-1986.267685,613.367014,9.218922
42,-6807.036796,591.675936,9.067449
43,-4427.435400,499.179334,9.000649
44,-8155.849274,426.603103,9.352063
45,-9761.840895,376.999330,9.587936
46,-6372.675965,386.804903,9.258951
47,-17158.796373,290.197216,9.765545
48,-6339.047753,461.253927,9.178858
49,-3015.527210,511.361487,8.993400
50,-5563.403900,483.905375,9.134070
51,-13957.556867,460.433939,9.845655
52,-528.391357,440.450143,8.678198
53,-5716.008661,449.205318,8.992997
54,-19281.948453,409.842732,9.919664
55,-14968.387146,405.034256,9.926666
56,-2009.780565,413.448297,8.912670
57,901.194213,399.650205,8.463925
58,-2066.775856,399.357313,8.988989
59,-19166.352497,255.655422,9.828697
60,817.438131,399.303166,8.573742
61,-2125.277268,538.381531,9.047152
62,-4383.575853,514.549392,8.994547
63,-61.372718,522.781841,8.834104
64,-3379.109921,477.087527,9.021925
65,-3818.369905,446.689849,8.741197
66,-255.806357,464.269319,9.031143
67,-1411.140803,540.605995,8.997796
68,-15096.622365,372.333184,9.692830
69,-6728.146967,551.079883,9.400102
70,-5267.270148,583.321426,9.256067
71,-3709.643651,490.820182,9.201965
72,-5145.282944,431.647055,9.205248
73,-18927.563630,378.813258,9.844870
74,-8321.713041,467.672608,9.240886
75,-4299.080950,291.748005,8.574868
76,-3358.625120,364.532310,8.650774
77,-7056.940987,482.684005,9.302171
78,-4973.126604,475.504628,9.328850
79,-6290.547584,429.367550,9.203019
80,-9264.765003,509.963974,9.623623
81,-8194.723720,465.882469,9.340547
82,-3735.797318,409.208893,9.069303
83,-3566.393805,414.905296,8.733430
84,-5550.532833,429.474461,9.105870
85,-5659.839276,450.349653,9.037935
